label,pca_x,pca_y,tsne_x,tsne_y
1,26.14099884,-34.34470749,-4.19564390,27.54793358
1,49.20579147,-25.66327858,20.29245186,-17.93084526
1,50.91342545,-20.34697723,20.64581490,-18.26494026
1,10.82799053,-13.59080982,-15.03923702,-29.17110252
1,39.14145279,-117.81845093,-9.85520458,29.78922844
1,85.18715668,-128.69750977,23.80301285,12.65873623
1,72.37310791,-121.08544922,21.71714973,3.69405556
1,31.71138763,-104.80471802,22.86680984,-0.26144841
0,-62.18767166,34.33116531,-16.34662247,13.07495785
0,-40.69277954,41.26218033,-8.78445530,-7.78944397
0,-38.43296814,40.96232986,-7.75888586,-8.00726891
0,-36.85056305,39.40288162,-10.71761322,-8.76517105
1,53.36759567,-27.72287750,-5.49427700,30.67694092
1,58.74093628,-40.06872177,16.25603676,-9.98066711
1,26.91896439,-38.95286179,17.44717789,-17.28453636
1,27.06124306,-37.59877396,16.47567940,-11.60951519
0,-26.29772186,-19.12725067,-3.94827819,23.72229767
0,-1.58947396,-15.44776535,11.55957794,-16.22530365
0,10.39021301,4.74606133,5.76122665,-19.82536316
